"NAZEV" "fc" "fXc" "fYc" "fZc" "fXYc_int" "fXZc_int" "fYZc_int" "fXYZc_int"
"46" "Pelhrimov" 1921513.64680896 369729.747029081 341207.916002865 289555.26803423 178809.901836784 267350.430037598 177599.579096289 297260.804772113
"47" "Pisek" 1906311.99905103 201532.268086461 290671.628737386 418501.607774893 69715.7452676677 295400.634236129 356061.166680628 274428.948267866
"48" "Plzen-jih" 1935644.58591463 108429.458545172 609472.664396283 259506.987935913 147348.506512779 160118.427964411 360537.196239201 290231.344320875
"49" "Plzen-mesto" 2032183.11705146 197118.843236086 20322.5316661118 159307.150297 58422.6280126871 804983.984007205 252394.696615183 539633.283217186
"50" "Plzen-sever" 2076532.47399621 280930.74827148 242549.835989335 328714.522445469 159593.321038893 425592.463331809 288404.461794731 350747.121124494
"51" "Prachatice" 2299412.81475888 433670.850474605 381450.860494172 407606.199856257 173456.818623826 301778.508568041 267905.075394606 333544.501347372
"52" "Praha-vychod" 1554636.66873469 81434.3126647094 296590.322209187 196054.220138585 125380.291200885 263963.522433275 258651.375090599 332562.624997452
"53" "Praha-zapad" 903115.963013335 49708.5185330674 117027.15843813 88784.7077089614 97804.4308091582 148795.301323925 139940.71313824 261055.133061852
"54" "Prerov" 1327755.9856826 53180.8285364311 315230.604572748 179158.743020034 71301.6303690839 113323.706027604 314253.415594837 281307.057561865
"55" "Pribram" 2699976.36787982 246613.504796936 119861.569281471 919757.763918776 74071.1676686259 332915.454653528 573904.072682481 432852.834877999
"56" "Prostejov" 1242237.31279519 114207.082789776 197831.08276195 196929.320646101 101841.207483321 198442.329729419 183595.540712905 249390.748671724
"57" "Rakovnik" 2730321.62842229 63113.9295733875 840399.894393634 467875.533524939 43120.0178471688 214291.585024791 665309.751402317 436210.916656055
"58" "Rokycany" 1455246.52479412 139368.274819078 281217.757568249 135817.934826133 130404.61621197 212880.646190789 216421.195455024 339136.099722873
"59" "Rychnov nad Kneznou" 1920431.28190288 101992.845149939 453646.409888902 261120.5300781 100085.146048816 311846.676822525 311426.275133628 380313.39878097
"60" "Semily" 2429512.07695322 325334.980297155 707544.018920793 290000.280904961 196326.774346449 312725.664486869 288596.34858846 308984.009408532
"61" "Sokolov" 2271232.26599253 243232.115165638 636124.016042188 353110.822082652 382550.632160454 112156.048517505 300389.254270895 243669.377753198
"62" "Strakonice" 2281244.57791951 169986.387512012 601466.584177731 412730.848713298 127846.950512181 282917.658075925 374094.478051119 312201.670877247
"63" "Svitavy" 1978434.78568071 155347.413690158 434106.765204821 231910.007536235 181138.887331705 238817.645521828 391549.842876532 345564.223519426
"64" "Sumperk" 2010270.80161292 253638.055212715 493558.922911222 239520.011805197 257859.75602269 234487.947266333 227396.150211736 303809.958183023
"65" "Tabor" 1970417.78312559 314154.774230054 432380.024953209 241739.528285723 289054.152786025 135054.746269689 255005.381276683 303029.175324212
"66" "Tachov" 2595195.07365132 896014.683531413 122369.034373448 450361.830062667 174630.110101543 586375.042321384 158982.154718526 206462.21854234
"67" "Teplice" 2647887.79392237 855539.739319417 229947.517978268 403967.194111061 130901.268719039 599237.470861465 161077.553406618 267217.049526497
"68" "Trebic" 2286397.66817835 510041.112496826 153275.037767382 360100.297933526 127550.892745202 255328.030327463 422813.737731198 457288.559176751
"69" "Trutnov" 2606847.12232407 123694.786320323 602290.628414073 750601.140573675 186418.770854924 188853.870901429 488302.88486125 266685.040398392
"70" "Uherske Hradiste" 2365471.03696183 215469.93123386 649592.828252058 262183.046002456 204242.023003747 169814.636974595 427509.599069423 436658.972425692
"71" "Usti nad Labem" 2502959.26056837 203909.647512444 250129.048159423 926985.56605939 91933.3556409003 401239.660010641 282253.868656571 346508.114529004
"72" "Usti nad Orlici" 1762008.60130533 178121.497512253 348208.683752094 199882.538255383 128709.532440833 283319.628409901 267961.474978041 355805.245956824
"73" "Vsetin" 1371632.60897931 90932.3975139704 348112.927702996 104944.336476174 129289.612318253 194136.290277793 148404.674206503 355812.37048362
"74" "Vyskov" 953629.806133149 61735.4646354075 192033.89116765 95279.6267167385 119593.911491311 68718.1010817858 214526.48639206 201742.324648197
"75" "Zlin" 1663421.51776272 187464.887679147 333243.787787599 108230.984326812 214183.598320138 263415.914389168 219793.328850147 337089.016409711
"76" "Znojmo" 2256712.16237493 42846.8214664383 908396.064241291 338937.022091212 100114.505517678 108416.613231342 412451.913003184 345549.222823786
"77" "Zdar nad Sazavou" 2428625.27007189 534924.546659076 268211.038174313 275162.414712126 234154.243915325 348879.302500839 284751.309590526 482542.414519681
